Text_ID,Date,Activity,Activity_sequence,Activity_attribute,Role,Role_attribute,Person_name,person_sequence,Person_attribute,relation
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver,scribe,,B_l-a_a-iddin,118,NameType:Akk | Gender:Male,Descendant:119
BM 134973,May 28 648,Loan,,City:Borsippa | Object: silver,ancestor,,Q_pu,119,NameType:Akk | Gender:Male,Ancestor:118
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land,lender,,LŠbŠ_i,120,NameType:Akk | Gender:Male,Son:120
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land, father,,N_dinu,121,NameType:Akk | Gender:Male,Father:121
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land,neighbor,,Imb_,122,NameType:Akk | Gender:Male,Son:123
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land, father,,Kin_,123,NameType:Akk | Gender:Male,Father:122
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land,borrower,,Bal_ssu,124,NameType:Akk | Gender:Male,Son:125
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land, father,,Nab_-a___-bulli_,125,NameType:Akk | Gender:Male,Father:124
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land,witness,,B_l-z_ri,126,NameType:Akk | Gender:Male,Descendant:127
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land,ancestor,,_ang_-Dilbat,127,NameType:Akk | Gender:Male,Ancestor:126
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land,witness,,Gula-z_ra-ibni,128,NameType:Akk | Gender:Male,Son:129
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land, father,,Ninurta-a_a-iddin,129,NameType:Akk | Gender:Male,Father:128
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land,scribe,,Nab_-n_din-a_i,130,NameType:Akk | Gender:Male,Descendant:131
BM 134969,Apr 12 614,Loan,,City:Dilbat | Object: land,ancestor,,B_l-e__ru,131,NameType:Akk | Gender:Male,Ancestor:130
